avgrating,brand,price,size
4.8,LG,749.99,75
4.8,LG,"2,199.99",65
4.6,LG,479.99,65
4.7,Samsung,349.99,50
4.5,Toshiba,239.99,43
4.6,Toshiba,219.99,43
4.8,Sony,"59,999.99",98
4.8,Sony,"2,999.99",85
4.8,Samsung,999.99,43
4.2,Hisense,999.99,65
4.6,Insignia™,279.99,55
4.0,SunBriteTV,"4,295.98",Pr
4.7,Westinghouse,229.99,50
4.6,VIZIO,199.99,40
4.8,Sony,"1,199.99",65
4.5,VIZIO,749.99,65
4.7,Sony,699.99,55
4.6,VIZIO,299.99,50
4.7,LG,549.99,65
4.7,LG,449.99,55
4.2,Hisense,129.99,32
4.6,Samsung,249.99,32
4.8,Samsung,699.99,55
4.6,TCL,279.99,50
4.6,LG,349.99,55
4.5,Insignia™,99.99,24
4.6,Insignia™,149.99,43
4.7,Insignia™,199.99,50
4.4,LG,99.99,32
4.6,Sharp,99.99,24
4.3,TCL,799.99,65
4.7,LG,229.99,43
4.5,Sharp,249.99,50
4.7,Insignia™,89.99,32
4.6,TCL,179.99,40
4.7,LG,649.99,70
4.8,TCL,379.99,55
4.3,Insignia™,129.99,40
4.6,Samsung,429.99,58
4.7,Insignia™,59.99,22
4.8,Samsung,"1,499.99",75
4.6,Sharp,169.99,40
4.7,Samsung,549.99,55
4.7,Sony,899.99,65
3.1,Hisense,299.99,50
4.6,Samsung,899.99,75
4.7,Samsung,999.99,65
3.9,Hisense,149.99,40
4.7,Insignia™,329.99,55
4.6,Insignia™,229.99,43
4.7,LG,399.99,55
4.4,Hisense,399.99,65
4.6,Samsung,549.99,70
4.7,Samsung,449.99,55
4.8,Samsung,799.99,65
4.6,TCL,699.99,75
4.7,Samsung,299.99,43
3.8,Hisense,379.99,55
4.6,Samsung,999.99,75
4.6,TCL,229.99,43
4.8,Samsung,"1,199.99",65
4.8,LG,699.99,55
4.5,VIZIO,169.99,32
5.0,Westinghouse,279.99,58
4.6,Toshiba,229.99,43
4.8,Sony,"1,499.99",65
4.7,Samsung,499.99,43
4.6,Insignia™,79.99,24
4.8,Sony,599.99,43
4.8,Samsung,"1,299.99",75
4.6,LG,379.99,50
4.8,Samsung,"1,699.99",65
4.7,Samsung,"2,299.99",75
4.7,Sony,699.99,49
4.8,Sony,"2,499.99",65
4.5,VIZIO,399.99,50
4.7,Samsung,179.99,32
4.8,Sony,"1,399.99",75
4.8,LG,499.99,60
4.6,LG,799.99,65
4.7,Insignia™,59.99,19
4.5,VIZIO,549.99,55
4.7,LG,"1,299.99",75
4.7,Sharp,129.99,32
4.4,VIZIO,369.99,58
4.6,Sharp,249.99,50
4.8,Samsung,499.99,49
4.1,TCL,279.99,43
4.3,VIZIO,139.99,24
4.8,LG,"1,999.99",82
4.7,LG,119.99,28
4.6,Insignia™,129.99,39
4.9,Samsung,"1,999.99",75
4.7,LG,139.99,32
4.3,VIZIO,549.99,65
4.8,Samsung,999.99,55
4.7,Sony,999.99,55
4.1,VIZIO,339.99,55
4.8,Samsung,"1,999.99",82
4.7,TCL,129.99,32
4.6,LG,"1,999.99",65
4.8,LG,"1,299.99",55
4.8,Sony,"1,799.99",75
4.0,Hisense,199.99,43
4.7,Samsung,599.99,49
4.7,Samsung,499.99,58
3.0,Sony,"12,999.99",85
4.2,Westinghouse,599.99,65
4.7,Hisense,509.99,65
4.1,Westinghouse,259.99,58
4.0,Hisense,699.99,55
4.5,Sony,"2,999.99",65
4.7,Sony,"1,299.99",65
4.7,Samsung,"2,299.99",82
5.0,SunBriteTV,"3,499.99",Ve
4.6,Sony,"4,999.99",75
4.6,Insignia™,169.99,40
4.6,LG,599.99,60
4.0,LG,"4,999.99",75
4.6,LG,265.99,43
4.0,TCL,599.99,65
4.6,Sharp,280.99,50
4.3,Westinghouse,139.99,32
4.6,Hisense,129.99,32
4.6,Toshiba,259.99,50
4.8,LG,399.99,49
4.5,Samsung,"4,499.99",82
4.8,Samsung,"2,199.99",55
4.6,Hisense,799.99,65
4.9,Sony,"1,029.99",65
4.7,Hisense,449.99,65
4.6,LG,"1,999.99",75
4.3,Hisense,349.99,50
4.6,Samsung,279.99,43
4.8,Sony,"5,999.99",77
4.8,Sony,"2,499.99",55
4.7,LG,899.99,75
3.3,VIZIO,139.99,32
4.5,Westinghouse,99.99,32
4.8,Sony,999.99,55
4.8,Samsung,"3,999.99",75
4.8,Samsung,"1,199.99",49
4.4,Westinghouse,149.99,49
4.8,VIZIO,"1,549.99",75
4.2,Westinghouse,99.99,24
4.7,LG,799.99,70
4.4,Westinghouse,119.99,32
4.7,TCL,"1,299.99",75
4.6,Samsung,"1,799.99",65
4.5,Hisense,269.99,50
4.3,Hisense,399.99,55
4.6,VIZIO,119.99,24
4.7,Samsung,479.99,55
4.7,LG,"2,199.99",86
4.8,Sony,"2,499.99",75
4.6,TCL,729.99,65
4.6,Hisense,129.99,32
4.6,LG,89.99,24
4.3,VIZIO,379.99,43
4.0,TCL,599.99,55
4.6,Hisense,179.99,40
4.5,Samsung,"1,399.99",55
4.6,VIZIO,899.99,70
4.6,LG,"1,099.99",65
4.6,VIZIO,279.99,43
4.7,Sony,899.99,49
4.4,Hisense,699.99,75
4.7,LG,149.99,32
4.2,Westinghouse,189.99,43
4.7,Toshiba,99.99,32
4.6,Sharp,379.99,58
4.8,Samsung,"2,499.99",82
4.7,Samsung,799.99,49
4.5,TCL,499.99,55
4.8,LG,"1,499.99",55
4.8,Sony,"2,299.99",85
4.8,Samsung,"2,199.99",65
4.8,Samsung,"1,299.99",55
4.7,Sony,"1,799.99",55
4.5,VIZIO,699.99,70
4.6,Samsung,229.99,43
4.6,LG,319.99,43
4.6,LG,119.99,24
4.6,VIZIO,"1,099.99",65
4.7,LG,599.99,49
4.4,TCL,319.99,50
4.6,Toshiba,249.99,49
4.9,Samsung,"2,999.99",65
4.8,LG,"4,999.99",77
4.8,Sony,"3,999.99",85
4.8,Samsung,"3,499.99",75
4.6,Samsung,"4,999.99",82
4.5,VIZIO,399.99,55
4.7,LG,"3,099.99",86
4.6,Hisense,549.99,55
4.6,LG,499.99,65
4.6,Hisense,299.99,55
4.6,LG,224.99,43
4.5,Hisense,249.99,43
4.6,Insignia™,249.99,55
4.9,Sony,"3,299.99",65
4.8,Samsung,"2,999.99",85
4.6,Hisense,599.99,65
4.5,LG,"1,199.99",75
4.9,Samsung,499.99,32
5.0,Samsung,"3,499.99",82
4.5,LG,899.99,55
4.8,Samsung,619.99,65
4.3,Hisense,999.99,75
4.9,Samsung,"1,799.99",82
2.0,LG,"29,999.99",88
5.0,SunBriteTV,"5,745.98",Pr
5.0,SunBriteTV,"5,744.99",Pr
4.0,SunBriteTV,"4,295.98",Pr
4.9,Samsung,"59,999.99",98
4.0,SunBriteTV,"4,295.98",Pr
5.0,SunBriteTV,"3,295.98",Pr
4.6,SunBriteTV,"1,499.99",Ve
5.0,TCL,"2,999.99",75
4.7,VIZIO,"1,179.99",75
4.1,Westinghouse,251.99,43
4.5,TCL,349.99,55
4.4,TCL,"1,999.99",65
4.9,Sony,779.99,55
4.6,SunBriteTV,"1,999.99",Ve
4.6,Sharp,259.99,43
4.6,TCL,299.99,49
4.9,VIZIO,479.99,60
4.7,LG,759.99,70
4.7,Sharp,359.99,55
4.5,Toshiba,322.99,55
4.7,Sharp,134.99,32
3.9,LG,"2,999.99",65
4.6,LG,329.99,50
4.6,LG,280.99,49
4.6,TCL,249.99,49
4.6,LG,649.99,55
4.5,VIZIO,170.99,32
4.7,Sony,799.99,55
4.7,Samsung,599.99,65
4.5,VIZIO,239.99,40
4.6,TCL,319.99,55
4.8,Toshiba,279.99,50
4.8,LG,279.99,50
4.6,TCL,149.99,32
4.6,Toshiba,129.99,32
4.6,Toshiba,329.99,55
4.6,Insignia™,169.99,39
4.7,TCL,469.99,65
4.8,Toshiba,449.99,65
4.6,Samsung,229.99,43
4.7,Insignia™,279.99,50
4.6,Insignia™,119.99,32
4.5,Sharp,279.99,55
4.6,Samsung,329.99,55
4.6,Samsung,479.99,65
