avgrating,brand,price,size
4.6,Samsung,329.99,55
4.6,Samsung,179.99,40
4.8,LG,"2,099.99",65
4.5,Toshiba,299.99,55
4.6,Sharp,169.99,40
4.6,Samsung,229.99,43
5.0,Westinghouse,299.99,58
3.8,Hisense,239.99,55
4.9,Sony,779.99,55
4.7,Samsung,549.99,55
5.0,Samsung,"3,499.99",82
4.8,Sony,"1,099.99",75
4.4,VIZIO,949.99,65
4.7,VIZIO,"1,179.99",75
4.8,Samsung,999.99,55
4.6,TCL,279.99,50
4.6,LG,799.99,65
4.7,LG,139.99,32
4.7,LG,649.99,70
4.8,Samsung,799.99,65
4.8,Samsung,"1,199.99",65
4.8,Sony,449.99,49
4.6,Sharp,209.99,50
4.6,Toshiba,199.99,43
4.8,Sony,399.99,43
4.5,Insignia™,99.99,24
4.7,Samsung,549.99,55
4.5,VIZIO,479.99,55
4.5,VIZIO,649.99,65
4.6,LG,349.99,50
5.0,LG,99.99,32
4.8,LG,429.99,60
2.8,Hisense,199.99,50
4.7,Samsung,599.99,65
4.7,Insignia™,89.99,32
4.5,Toshiba,229.99,43
4.1,Insignia™,129.99,40
4.7,Sharp,119.99,32
4.7,LG,479.99,65
4.8,LG,279.99,50
4.7,LG,229.99,43
4.5,Sharp,289.99,55
4.7,LG,"1,799.99",65
4.5,VIZIO,239.99,40
4.7,Sony,999.99,55
4.2,VIZIO,129.99,24
4.8,LG,"1,199.99",55
4.8,Samsung,"1,999.99",82
4.7,LG,109.99,28
4.8,LG,599.99,55
4.7,LG,349.99,55
4.5,VIZIO,169.99,32
4.6,VIZIO,349.99,50
4.6,Insignia™,69.99,24
4.6,Insignia™,229.99,43
4.8,Sony,"1,799.99",75
4.6,TCL,319.99,55
4.8,Samsung,"1,299.99",75
4.6,TCL,149.99,32
4.7,Samsung,149.99,32
4.7,Samsung,499.99,43
4.8,Samsung,"1,699.99",65
4.8,Sony,"1,399.99",65
4.7,Insignia™,59.99,19
4.8,Sony,"1,999.99",65
4.8,Sony,"1,099.99",65
4.7,Samsung,449.99,55
4.7,Samsung,999.99,65
4.6,Samsung,749.99,75
4.7,Samsung,299.99,43
4.6,Hisense,549.99,55
4.8,Samsung,"1,499.99",75
4.7,LG,399.99,55
4.4,VIZIO,449.99,65
4.6,Insignia™,149.99,43
4.6,VIZIO,269.99,50
4.8,Samsung,"2,299.99",75
4.6,Samsung,999.99,75
4.8,Samsung,699.99,55
4.6,Samsung,229.99,43
4.7,LG,549.99,65
4.7,Sony,699.99,65
4.7,Insignia™,199.99,50
5.0,Hisense,149.99,40
4.3,TCL,799.99,65
4.6,VIZIO,179.99,40
4.6,Insignia™,129.99,39
4.6,TCL,699.99,75
4.7,Samsung,799.99,49
4.7,LG,"1,599.99",82
4.8,Samsung,"2,199.99",65
4.6,TCL,229.99,43
4.6,Toshiba,229.99,43
4.8,Sony,"1,499.99",55
4.7,Sony,799.99,49
4.8,Sony,"2,299.99",85
4.8,LG,"1,499.99",55
4.1,VIZIO,319.99,55
4.8,Samsung,499.99,49
4.6,VIZIO,899.99,65
4.6,LG,299.99,43
4.7,LG,509.99,49
4.6,LG,119.99,24
4.7,LG,379.99,55
4.7,Samsung,499.99,58
4.7,Samsung,"1,299.99",55
4.8,Samsung,"1,999.99",75
4.7,Samsung,599.99,49
4.7,Samsung,"2,299.99",82
4.9,VIZIO,449.99,60
4.6,LG,329.99,50
4.5,TCL,349.99,55
4.6,TCL,299.99,49
5.0,TCL,"2,999.99",75
4.1,Westinghouse,259.99,58
4.6,Hisense,129.99,32
4.6,Insignia™,169.99,40
4.6,SunBriteTV,"1,499.99",Ve
4.6,Sharp,259.99,43
4.6,LG,599.99,55
4.6,LG,549.99,60
4.6,LG,280.99,49
4.7,Sharp,134.99,32
4.5,VIZIO,170.99,32
4.5,Toshiba,322.99,55
3.9,LG,"2,999.99",65
